DATE,B230RC0A052NBEA
1929-01-01,121878
1930-01-01,123188
1931-01-01,124149
1932-01-01,124949
1933-01-01,125690
1934-01-01,126485
1935-01-01,127362
1936-01-01,128181
1937-01-01,128961
1938-01-01,129969
1939-01-01,131028
1940-01-01,132122
1941-01-01,133402
1942-01-01,134860
1943-01-01,136739
1944-01-01,138397
1945-01-01,139928
1946-01-01,141389
1947-01-01,144126
1948-01-01,146631
1949-01-01,149188
1950-01-01,151684
1951-01-01,154287
1952-01-01,156954
1953-01-01,159565
1954-01-01,162391
1955-01-01,165275
1956-01-01,168221
1957-01-01,171274
1958-01-01,174141
1959-01-01,177130
1960-01-01,180760
1961-01-01,183742
1962-01-01,186590
1963-01-01,189300
1964-01-01,191927
1965-01-01,194347
1966-01-01,196599
1967-01-01,198752
1968-01-01,200745
1969-01-01,202736
1970-01-01,205089
1971-01-01,207692
1972-01-01,209924
1973-01-01,211939
1974-01-01,213898
1975-01-01,215981
1976-01-01,218086
1977-01-01,220289
1978-01-01,222629
1979-01-01,225106
1980-01-01,227726
1981-01-01,230008
1982-01-01,232218
1983-01-01,234333
1984-01-01,236394
1985-01-01,238506
1986-01-01,240683
1987-01-01,242843
1988-01-01,245061
1989-01-01,247387
1990-01-01,250181
1991-01-01,253530
1992-01-01,256922
1993-01-01,260282
1994-01-01,263455
1995-01-01,266588
1996-01-01,269714
1997-01-01,272958
1998-01-01,276154
1999-01-01,279328
2000-01-01,282398
2001-01-01,285225
2002-01-01,287955
2003-01-01,290626
2004-01-01,293262
2005-01-01,295993
2006-01-01,298818
2007-01-01,301696
2008-01-01,304543
2009-01-01,307240
2010-01-01,309839.0
2011-01-01,312295.0
2012-01-01,314725.0
2013-01-01,317099.0
2014-01-01,319601.0
2015-01-01,322113.0
2016-01-01,324609.0
2017-01-01,326860.0
2018-01-01,328794.0
2019-01-01,330513.0
2020-01-01,331761.0
2021-01-01,332213.0
